이름,견종,세부견종,색상,출생연도,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소
추석,믹스,믹스,Unknown,2020.11,7.16,https://cafethumb.pstatic.net/MjAyMTExMTlfMjMx/MDAxNjM3Mjg1ODE5NDQ0.k1AmbdBQDQPi4Iq22XyeKqfIg4FfxSOLFbd5iBGUq58g.G9STkXi8nfb6QqB7iy8lxgtsw8_v3aKyCQ58gevkH40g.JPEG/P1010180.JPG?type=f200_200,Y,M,U,사람을 좋아하고 장난기 많은 귀여운 발바리 추석이예요~  우리 추석이는 구조당시부터 갈비뼈가 다 드러나는 매우 마른 상태였습니다. 계속 살을 찌우고 있지만 아직도 마른 상태예요.  지금보다 1~2키로 정도 더 찌워주면 건강하고 멋진 몸이 될 것같습니다.  패드배변도 잘하고(간헐적으로 실수는 있습니다~:) 호기심도 많아서 매우 작은 친구들(초소형)강아지들빼고는 잘 지냅니다.  한쪽 귀가 내려가있어 장난꾸러기같은 외형을 지니고 있고 실제 장난꾸러기라서 산책 실내외에서 활동을 많이 시켜주시면 좋을 듯 해요.  단모종이지만 생각보다 잘 빠지지 않아요!! ♥  처음 반려견을 키우거나 초등이상의 자녀가 있는 집 등 무난하게 잘 적응 할 것 같습니다.  밥도 잘먹고 똥도 잘싸고~ㅎㅎㅎ  다리짧아서 오종종한 매력이 듬뿍!!  이목구비 뚜렷한 잘생긴 우리 추석이의 평생가족을 기다립니다.,서울특별시
체스,포메라니안,포메라니안,Unknown,2017.11,7.16,https://cafethumb.pstatic.net/MjAyMTExMDJfMjU5/MDAxNjM1ODI3MDE0NDM0.jv_FK_TGaAwDxOs6so1yD9JhMyRUMOcIvPJN3fG2O98g.cs3MJowmNcd0KT-KXiyiIgtvBvMO4Rvzgisv2QcW0WQg.JPEG/P1010013.JPG?type=f200_200,Y,F,U,,서울특별시
차돌,포메라니안,포메라니안,Unknown,2018.11,7.16,https://cafethumb.pstatic.net/MjAyMTExMDFfMjQ1/MDAxNjM1NzMxNTkxNzA1.qQA3p7JetYkO79XRLWVAh-QPqLBlcxONC_RY4ClfYbog.MrfPaTkYNJZzGptJiamtGszJmQ0i7cQPVH3G-P8AGUAg.JPEG/%C2%F7%B5%B9%C0%CC.jpg?type=f200_200,Y,M,U,,서울특별시
잭슨,믹스,셔틀랜드쉽독,Unknown,2017.11,7.16,https://cafethumb.pstatic.net/MjAyMTEwMjZfMzEg/MDAxNjM1MjQwMzA4NDY4.sWTcwlo0c7xOgXY-KIX_3wCxeLAjkofKPB7HpxwGPjAg.m4SqKtl2tF4LMVq_9cmjC7p3yQn_EgJ-eC8enMLqg0og.JPEG/DSC08180.JPG?type=f200_200,Y,M,U,,서울특별시
제인,치와와,치와와,Unknown,2018.10,7.16,https://cafethumb.pstatic.net/MjAyMTEwMjZfMTcy/MDAxNjM1MjM2ODQ4MjMy.rbnuTNOrudDCGG9MyJh-ztDfFl-8ngmOq8bzzwCh0CEg.Od4DLKZ06cm8GAuNdLgx_gFMlaHanYcmuvMTyviLmkAg.JPEG/DSC08073.JPG?type=f200_200,Y,M,U,,서울특별시
준이,시츄,시츄,Unknown,2018.10,7.16,https://cafethumb.pstatic.net/MjAyMTEwMjZfNDEg/MDAxNjM1MjEzNDM1Nzg4.BL5Bjg8tieDLBEZdW5oX1obVKB2Go5oJhxBPLn3r2qYg.o_iGX09rVPsLdm-va7t2B1oDWqOk2wKE2xGzk2wqSTMg.JPEG/DSC08097.JPG?type=f200_200,Y,M,U,온순하고 긴 속눈썹이 너무 예쁜 준이예요~  시츄 답게 조용하고 온순 친화적인 친구예요.  살짝 겁이 있어 적극적으로 다가오는 친구는 아니지만 익숙해지면 다가와 꼬리를 살랑 살랑인답니다^^  산책도 잘하고 패드배변은 훈련중이예요~  다른 강아지들과도 크게 무리없이 잘 지내는 준이~!  구조당시 너무도 마른 몸은 센터에서 살찌우고 있는대도 말랐답니다.  입양후 건강관리로 살도 좀 찌워주시고 산책도 자주 시켜주세요~  구조당시 살짝 눈이 안좋아서 치료도 하고 감기 치료도 했어요~  지금은 건강한 상태랍니다^^  시추의 커다란 두눈은 산책중 나뭇가지에도 상처가 잘 나고 각막염도 쉽게 생깁니다.  꾸준히 눈관리가 필요한 아이예요~  털빠짐이 적고 착하기 때문에  어린 아이가 있거나 처음 반려견을 맞이하려는 가정 등 어느 가정에도 적합한  준이!!  헛짖음이 관찰됩니다. 짖음에 예민한 환경은 입양이 어렵습니다.  짖음 훈련도 해주시고 사람이 항시 집에 있는 가정이라면 최적일 듯 합니다^^  사랑과 온기로 준이를 맞아주실 평생가족을 기다립니다.,서울특별시
주리,비숑프리제,비숑프리제,White,2019.10,7.16,https://cafethumb.pstatic.net/MjAyMTEwMjNfMTcx/MDAxNjM0OTU1MzUxNzQz.9Fa6HK_dMGDI1l-mWQWDWem9C7UpqQtKjh2FpZh5BjIg.Td4V9G46BT7RZvaeI8eZFV2UnRIw_PezzaRJdZau1rIg.JPEG/P1010200.JPG?type=f200_200,Y,F,U,사람이 좋은 착하고 귀여운 비숑 주리예요~  주리는 구조당시 심하게 얼굴 전체를 물들인 눈물자국과 엉키고 오염된  갑옷같은 털때문에 빡빡이 위생미용을 했어요.  그래도 너무 예쁜 우리 주리!  신체적 학대를 당한 듯 손이 머리쪽으로 가면 질끈 눈을 감고 뒷걸음 치거나 큰 목소리로 말하면 웅크리며 숨으려고 합니다.  매우 활발한 주리가 그런 모습을 보이는 것을 보면 많이 맞은 듯해요.  사람의 정이 그리워 채취가 그리워 다리 사이로 파고드는 작은 주리를 보면 참 안타깝습니다.  동물등록을 했지만 전화번호도 바꾸고 유기한 가족을 그리워하는 것일테니까요.  4.5키로의 주리는 산책도 패드배변도 잘합니다.  다른 강아지 친구들과도 잘 지내고요.  바로 입양가도 너무 잘 적응할 친구예요.  다만 정에 굶주린 아이라서 입양직후부터 분리불안 훈련을 시켜주세요  시간이 지나고 포숑포숑하게 털이 오른 후 예쁜 미용을 해주시면  눈이 부실 아이입니다.  어린 2살 지난 고통과 힘든의 기억보다는 앞으로 행복한 기억만을 주실  흰구름같은 주리의 평생가족을 기다립니다.,서울특별시
죠리퐁,믹스,믹스,Unknown,2014.10,7.16,https://cafethumb.pstatic.net/MjAyMTEwMTNfMjE4/MDAxNjM0MTA1NDQ1MTcw.oZmau9ZCiE2P2tRJgW4avLObL2a1b17kbfUssiF3YKMg.gcAzLtF280zsjsj4pPQ7ST5E2WOq-080b4-pTTch3zkg.JPEG/P1010008.JPG?type=f200_200,Y,M,U,,서울특별시
수아,믹스,믹스,Unknown,2021.02,7.16,https://cafethumb.pstatic.net/MjAyMTEwMTNfNjMg/MDAxNjM0MDg2NTk4Mzk1.5LSoBlMKm1MbD2u5s74-vduFKldHCVNEDUFKu14jrF8g.hy7koJNl0v17_JGBQDH8YKQ_eTZ68RziUuEza7mX_lEg.JPEG/P1010028.JPG?type=f200_200,Y,F,U,,서울특별시
알린,요크셔테리어,요크셔테리어,Unknown,2012.10,7.16,https://cafethumb.pstatic.net/MjAyMjAxMTRfMjIx/MDAxNjQyMTQwNDk3Nzk5.Q2l1Ftf54qIV5VBZXMHudQ8yIOAh_7tgmgF8f_GxA1Eg.MB2kr3yGQtFkDazvqsJMqBNIghGAvLoRe7BouAiVCoog.JPEG/P1010027.JPG?type=f200_200,Y,M,U,,서울특별시
우디,믹스,믹스,Unknown,2020.09,7.16,https://cafethumb.pstatic.net/MjAyMTA5MjVfMjMx/MDAxNjMyNTQ0MjcxMTM0.8DEJS-KzmpT2481TXTvSeajWOKvQukvVcjdUN8vJr4wg.8ykSHVlF2d5R28XKU5KKU3Zt_ED9O5y6BDMOr465iQkg.JPEG/P1010021.JPG?type=f200_200,Y,F,U,,서울특별시
세희,믹스,믹스,Unknown,2017.09,7.16,https://cafethumb.pstatic.net/MjAyMTA4MzFfMTcx/MDAxNjMwNDA4NTcyMTQw.VeLWGVOHehjt2KfOcEzxBZiSqFM50VlwOx5ZFDbfh48g.s3noGJLl-ElOyWf2lYHinkJriZHQsYngjxUF5eJmokcg.JPEG/P1010203.JPG?type=f200_200,Y,F,U,,서울특별시
새롬,믹스,믹스,Unknown,2016.09,7.16,https://cafethumb.pstatic.net/MjAyMTA4MzFfMjA1/MDAxNjMwNDA2ODIyNDU3.PJvgh5TA0qH7j4KnSNNuMlGds4UuTfiFs-CLK7M7oM8g.ha1U_AD878nCuwKjxQRFjHOuGVubOOeTGwayk9PULP8g.JPEG/P1010346.JPG?type=f200_200,Y,F,U,,서울특별시
심바,믹스,믹스,Unknown,2021.01,7.16,https://cafethumb.pstatic.net/MjAyMTA4MjZfMjAz/MDAxNjI5OTYyOTY1NTE0.ms1qsvR2II2pb0cAUyCTQjrMsJ5boIqw9XMhm1jmAVUg.KF-pkeu-8k8CAmOqV-cHpOVggZRtVZqDf73hK_t-nkEg.JPEG/P1010043.JPG?type=f200_200,Y,M,U,사람도 좋고 다른 강아지들도 좋지만 지금은 너무 무서워요!  사람과의 긴밀한 교감이 없었는 듯 하지만 어리고 밝은 성격으로 다가와 애교도 살살 부려주는  심바예요!  패드배변도 스스로 잘 해내는 똑똑한 작은 콩 심바!  아직 어려서 다른 강아지들과의 사회화와 외부환경에 대한 사회화 등 훈련이 필요해요.  어린 자녀나 초보가족 등 어느가족과도 적합한 친구입니다.  갇혀진 공간에서는 심하게 짖어요. (짖음 등에 예민한 가족은 입양이 어렵습니다.)  입이 짧아 편식이 있는 작은왕자 심바예요. (입이 짧은 친구들은 다양한 샘플사료로 먼저 급여 후 사료를 구매하시는 방법이 있습니다^^)  밥도 잘먹고 콩콩콩~ 잘 뛰어다니는 왕자님의 평생 가족을 기다립니다.,서울특별시
싱아,푸들,푸들,Unknown,2020.08,7.16,https://cafethumb.pstatic.net/MjAyMTA4MjZfMTI2/MDAxNjI5OTU3NTE2NjY4.SsKO-TLdjF0hAnIctJy24ZvFHN65j7NocKygoUz6Pwgg.56TzcEj3uEHz0wAVQkR5A8P6dwXTnNDejIkVUCmQD7Yg.JPEG/P1010137.JPG?type=f200_200,Y,M,U,,서울특별시
소중,믹스,"비숑프리제, 푸들",Unknown,2018.08,7.16,https://cafethumb.pstatic.net/MjAyMTA5MTJfMjg5/MDAxNjMxNDI5MTg4Nzg2.S1A9U6vrYUVLZ2sOqdkk-9jcn-qVv1Fp6N5hXnfN2c4g.p3LQXP37QDqJ6IkTQMbtSFR57e_kUcU8b-932pQGutEg.PNG/%BC%D2%C1%DF.PNG?type=f200_200,Y,M,U,,서울특별시
소라,스피츠,스피츠,Unknown,2020.08,7.16,https://cafethumb.pstatic.net/MjAyMTA4MDhfNTgg/MDAxNjI4NDA4NDYzODg1.t7Prmvi5vST4lSn5MBJPZZKWBVxvkyuSUZHt3sJl-gYg.4u-p5WPXdBM7tduxgjNnBdIJJ5wjZwBRR3QhFGiR35gg.JPEG/P1010130.JPG?type=f200_200,Y,F,U,,서울특별시
쏘닉,말티즈,말티즈,Unknown,2019.08,7.16,https://cafethumb.pstatic.net/MjAyMTA4MDhfODEg/MDAxNjI4NDAwNTIyMjMz.86UCiDlMnSNpusk5hQA68r6bg0wfWtVhKOhqwV_9sLUg.a0iA5T_vANsumdHRbHyjjjeGjuZUBIoW9_ENVaSv-N8g.JPEG/P1010218.JPG?type=f200_200,Y,M,U,어리고 개구장이인 쏘닉이예요~  쏘닉은 구조당시 피부가 좋지않아 현재 치료중입니다.  패드배변 훈련중이며 다른 강아지들과 데면데면해요~  분리불안 증상이 심해 짖음이 있습니다. (동물 짖음의 민원이 있는 환경을 지닌 가족은 고심해주세요)  입장난이 있어 어린자녀가 있는 가정보다는 초등고학년 이상의 자녀가 있거나 성인구성원의 가족이 좋습니다.  다리가 긴 쏘닉이는 어린 나이의 강아지답게 호기심도 많고~ 매우 활발해요~  자주 산책을 통해 에너지를 분출시켜주세요~^^  좋고 싫음에 있어 단호박인 친구니까 어느 정도 훈련을 시켜주셔야 됩니다^^  작지만 똘똘 에너지 충만의 쏘닉~  어린 자녀가 있는 가정은 반려동물 입양전 알러지 검사를 통해 입양준비를 해 주세요.  작은 콩 쏘닉의 평생가족을 기다립니다.,서울특별시
복순이,푸들,푸들,Unknown,2018.08,7.16,https://cafethumb.pstatic.net/MjAyMTA4MDhfMTA0/MDAxNjI4Mzk4MjA4NTQ0.D7xdOJ7OQsqg91BB1TobdJqs-kVNNHbA2nwIJnljTosg.8AGBcVyATtrVagn0G_n2J2TnMv0fTfKggyI1Z3zp-qQg.JPEG/P1010163.JPG?type=f200_200,Y,F,U,사람에게 온순하며 애교 많은 푸들 복순이예요.  복순이는 앞니 아랫니의 결손이 있어 웃으면 약간 웃퍼요ㅠㅠ  다른 강아지들과 사이좋게 지내며 패드배변 훈련 중입니다.  푸들 견종답게 너무 너무 높게 잘 뛰어서 높이뛰기 선수로 올림픽에 출전시켜야 되나 고심중이예요.^^  털빠짐이 적은 견종이지만 빗질을 느슨하게 하면 엉킴이 심해 빗질이 어려워지기도 해요.  사람에 대한 교감이 뛰어나 분리불안 증상이 관찰되기도 하지만 매우 심한 편은 아닙니다. (그래도 입양 후 분리불안 증상 감소를 위해 꾸준히 훈련시켜 주세요.)  앉아-기다려 등 기본 지시어 훈련도 잘 되어있는 착한 복순이!  복순이는 유아 이상의 자녀를 가진 가족이나 성인 구성원 가족 초보가족 다견 가족 과  잘 어울릴 수 있어요. (너무 어린 자녀가 있는 집은 어렵습니다.)  모량도 풍부하고 구조 당시 콧잔등 탈모도 많이 자라서 귀여운 외모를 뽐내고 있는 복순이의 평생가족을 기다립니다.,서울특별시
바름이,믹스,치와와,Unknown,2018.08,7.16,https://cafethumb.pstatic.net/MjAyMTA5MjlfNzYg/MDAxNjMyOTAyNzM2MzM0.OZHdJlttszfs3yFeG7Z4lJEYGMZ3kxmEXlIwg0kb5Z0g.p_aH0XGFKv4sT_GE4vaYEkPeS2GK_pTAhEgQJtzuuUcg.JPEG/KakaoTalk_20210923_160429053_05.jpg?type=f200_200,Y,M,U,,서울특별시
복땡이,믹스,"포메라니안,스피츠",Unknown,2017.08,7.16,https://cafethumb.pstatic.net/MjAyMTA3MTVfMjc2/MDAxNjI2MzM3NDU5NTY3.9DekTcvzZqEDuEtBpUR-ZYFjePnNe3yY7wYgQrAD9R4g.2jTMixxpzGTv8D_MCy9y3_BolvPUBg8KzsaeVO2tLdAg.JPEG/P1010201.JPG?type=f200_200,Y,M,U,세상은 언제나-  신나!  즐거워!  짜릿해!!!!!  해맑은 웃음을 지닌 귀여운 복실 강아지 복땡이예요!  복땡이는 폼피츠로 추정되며 털이 복실 복실 ~ 털 뿜뿜 복사기 입니다!!  (털에 예민한 가족 또는 알러지 아토피 비염 등을 지닌 가족은 반려동물 입양전 알러지 검사를 통해 입양준비를 해주세요~)  다른 강아지들에게 마운팅도 많이하고~ 장난감 공도 너무 너무 좋아하고~ 밥도 너무 너무 잘먹고~  드라이 룸에서 뿜어져 나오는 바람을 즐길 줄 아는  진정 이세계 강아지가 아닌 복땡이!!  다른 강아지들과의 공격성 제로! 사람과의 친화성 백프로!  패드배변은 꾸준히 훈련을 시켜주셔야 돼요~ (수컷이다보니 마킹을 합니다~ 실외산책을 통해 보완해주세요!)  흥분도가 높다보니 요구성 짖음이 약간 있어요~  차분해질 수 있도록 훈련이 필요해요 ㅎㅎㅎ  개구장이 친구 복땡이의 평생가족을 기다립니다.,서울특별시
마음,치와와,치와와,Unknown,2017.07,7.16,https://cafethumb.pstatic.net/MjAyMTA3MTVfMjMg/MDAxNjI2MzM1NzI3MzA5.tQkdhdkF7JqcPrfX_BoAkpHq_-9d3u8jEiIZQvepwqwg.d2kGbGROisTMFOeQM8LTL9Qy5ENnzE4jPT0dqVJlJeAg.JPEG/P1010239.JPG?type=f200_200,Y,M,U,,서울특별시
미래,믹스,믹스,Unknown,2019.07,7.16,https://cafethumb.pstatic.net/MjAyMTA3MDJfMjQz/MDAxNjI1MTkwNDY1Mzcy.QDLmW_dUWS6p65XN-eVSLZslPjkyD3n3DZ2VUyN016wg.5A8QkeKvDlQvZjtROAplBAcYRwMc9ntt91vnZTjuhZsg.JPEG/KakaoTalk_20210701_102353816_12.jpg?type=f200_200,Y,F,U,,서울특별시
모리,닥스훈트,닥스훈트,Unknown,2017.07,7.16,https://cafethumb.pstatic.net/MjAyMTA3MDFfMTE5/MDAxNjI1MTI1Mjc0NjMx.c_Hk8JNWcqV_v8YMsd2G5OQQWQqZ_VM2CWGF3QCnJOYg.P1i0yACkpGh1g35H1adDlfUpyHh5MmQdy94bZoLyFgog.JPEG/KakaoTalk_20210701_102238160_01.jpg?type=f200_200,Y,M,U,,서울특별시
망고,믹스,믹스,Unknown,2018.07,7.16,https://cafethumb.pstatic.net/MjAyMTA3MjBfOTQg/MDAxNjI2NzU1NjQ0Mzkw.srmnTk0uKzHOcDz3kV8IYIx5nbcwDlSxCWhRmcVfjYAg.UTKeLD5nRJQrukry0XUtcoyX80XXgPLQ7H1r_rdNkpQg.JPEG/P1010127.JPG?type=f200_200,Y,M,U,,서울특별시
모코,스피츠,스피츠,Unknown,2018.06,7.16,https://cafethumb.pstatic.net/MjAyMTA2MTVfMTUw/MDAxNjIzNzQ1OTYzOTQy.RjDcD0irTeaAhOVVdvB1Lgfbpyq73FhFxJ1uhk5QVZQg.GVjdJCDmJx-73XTF0dV-UtEf1FQI7xQAkhVCr2z5Oagg.JPEG/KakaoTalk_20210615_111815623_04.jpg?type=f200_200,Y,F,U,사람을 좋아하는 털 복사기 모코모코모코예요~  예쁘다고 칭찬하면 와락 안겨서 애교부리는 천상 반려견이지요~!!  다른 강아지 친구들과 사이좋게 지내며 패드배변도 잘한답니다!!  앉아 기다려 같은 기본 훈련도 척척 잘해내고요.  귀여운 외모에 작은 몸집!  폼피츠(포메라니안+스피츠 믹스)같은 외모의 모코는  구조 당시 호흡기 치료를 하였습니다. (현재 치료중)  털이 매우 많이 빠지는 견종이다보니 털 알러지 또는 비염 아토피 등 민감한 가족은 반려동물 입양전 알러지 검사를 미리 준비하시는게 좋아요~^^  처음 반려견을 맞이하려는 초보가족이나 이미 반려견이 있는 다견가정 등  어느가정에도 잘 적응할 수 있는 모코!  사랑스런 솜사탕같은 모코의 평생가족을 기다립니다.,서울특별시
모카,믹스,이탈리안하운드,Unknown,2019.06,7.16,https://cafethumb.pstatic.net/MjAyMTA2MTJfMjM0/MDAxNjIzNDgzMTc3NDYx.GxsF2qiPpEkaf7GxKmT9ht3SQQSsgNUrIhElh4u3FUMg.p6Z2PYYsBquUx8lbbT3XjFVabEbPnYg60CmYuSpTguwg.JPEG/KakaoTalk_20210611_170247241_05.jpg?type=f200_200,Y,M,U,앉아 기다려 지시어는 물론!  구르는 재주와 공놀이까지 못하는게 없는 똑똑한 날쌘이 모카예요~  모카는 날씬하고 우아한 외모를 지닌 이탈리안그레이하운드 혼종으로 성격은 딱 이탈리안그레이하운드!  호기심 많고 뛰는 것을 좋아하며 장난감도 사람도 좋아해요♥ 그래서 자칫 산만하게도 보이기도 한답니다. :)  매우 날렵하게 센터를 종횡무진하는 모카!  전 가족으로부터 많은 훈련을 받은 듯 기본 지시어 외 패드배변도 잘한답니다. (대신 수컷이다보니 마킹을 매우 잘하네요~  외부 산책을 통해 마킹훈련이 지속적으로 요구됩니다)   극단모종으로 추위에 약한 아이이니  옷을 통해 체온을 조절해주셔야 됩니다. (털도 미세하게 많이 빠지는 편입니다~ 털이 옷에 박힌다고 생각하시면 돼요!)  다른 강아지들과 어울리는 사회성은 조금 부족한 듯해요. 활발하게 어울리기보다 주변을 배회하며 어울리고 싶어하는 모습이 자주 관찰됩니다. (공격적이지 않아요~)  착하고 순한 모카는 얇은다리에 활동량이 제법 있어 꾸준한 산책이 필요해요.  견종 특성상 골격이 얇은 편이라 골절이 되지 않도록 주의가 요구되기도 하고요.   애교 많은 날쌘돌이 모카는 처음 반려견을 맞이하려는 가족이나 이미 경험이 있는 가족 모두에게 적합한 반려견입니다.  다만 워낙 빠른 속도로 잘 뛰는 아이다보니 달리기에 약하신 가족님께는  먼저 체력강화도 요구되기도 해요 :)ㅋㅋ  모카와 전력질주하고싶은 평생가족을 기다립니다.,서울특별시
몽구,믹스,믹스,Unknown,2020.06,7.16,https://cafethumb.pstatic.net/MjAyMTA2MTFfODkg/MDAxNjIzMzc1ODgzNTgx.YCEcbILQYYQdKLSWyOj_209fF3m3vF-g4t_7A-JWgDEg.TcY2GIm5odmAhpCbiuD0ZhaAiPgC0h19Fpa5AWwTpAcg.JPEG/KakaoTalk_20210610_152825426_02.jpg?type=f200_200,Y,F,U,부드러운 털과 짧은 다리가 매력적인 우리 친구 몽구예요~  몽구는 아직 어린 1살의 친구답지않게  조용하고 차분하며 다른 강아지 친구들과도 스스럼없이잘 지내요!  은근 소심 겁이 있어 자신감 뿜뿜이 되기위한 여러 훈련이 필요해요~  현재 센터에서 패드배변훈련 이동장 훈련 등을 열심히 하고 있답니다!  사람을 좋아해서 조용하게  매우 조용하게 ~ 뒤나 옆을 졸졸 따라다니는 침묵의 스토커 몽구양 ♥  눈치보며 발라당도 하고 밥도 잘먹고~  단모종으로 털빠짐은 있습니다. (개털 알러지 또는 비염 아토피 등 이비인후과 피부관련하여 민감하신 분은 미리 알러지 검사를 통해 반려동물 입양준비를 하시길 바랍니다!)  한없이 순둥순둥~ 착하고 귀여운 바둑이^^  처음 반려견을 맞이하고자 하는 초보 가족  이미 다른 반려견이 있는 다견가족등 모두 몽구의 가족이 될 수 있어요! (다견일 경우 2마리 이하만 가능)  이것 저것 반려견으로써 여러 훈련이 필요한 사랑스러운 몽구와 함께 신나고 즐거운 반려생활을 경험하실 가족을 기다립니다.,서울특별시
루이,말티즈,말티즈,Unknown,2020.06,7.16,https://cafethumb.pstatic.net/MjAyMTA1MzFfMjg0/MDAxNjIyNDQxNzIwMjM2.eXlcpDZT_59mLo_-0Ntn94X-tRUk9P8WkRZqvrRNtNUg.6xuS6ruA349wY_gDvIzsWA6GaFeZtPGBFui2WK-lKjMg.JPEG/KakaoTalk_20210531_145041267_08.jpg?type=f200_200,Y,M,U,작아도 너무 작아요ㅠㅠ  만지면 아스라질 것 같은 작고 여린 어린 강아지 루이예요.  사람에게 친화적이며 애교도 많은 아이.  깨짝 깨짝 입이 짧아 잘 먹지도 않아요. 8종의 다양한 부페식도 루이에게는 그다지 구미 당지지 않나봅니다.ㅠ.ㅠ (간식도 크게 좋아하지 않아요.)  구조당시 몸을 가누지 못하고 비틀비틀 한쪽으로 무너지는 상태였어요.  센터에서 컨디션을 회복하여 건강해졌지만 걷거나 뛸때 몸이 약간 오른쪽을 향합니다. (현재 신경학적으로 문제 없습니다.)  근육량이 그 나이때보다 적어 매일 산책이 필요하고 체중이 워낙 적어 살이 좀 더 쪄야돼요. 관절 자체도 살짝 약한편이라 살짝 높은 곳에서 뛰거나 하지 않도록 해야 합니다. (꾸준한 관리가 요구됩니다.^^)  패드배변 훈련중이며 다른 강아지들과 잘 지냅니다.  루이의 보행을 이해하고 꾸준하게 관리를 해주실 평생가족을 기다립니다.,서울특별시
레이,믹스,"말티즈, 푸들",Unknown,2020.05,7.16,https://cafethumb.pstatic.net/MjAyMTA1MjBfNjEg/MDAxNjIxNDk4OTE5NTY4.WdIVS-GPiX6SoRpJ3QyxBJTwcZqFW64zRCWhspNpNoQg.6THVZoA4WHUe3vrl6JNSmWVRwT9S0bbzV657SpGraHQg.JPEG/KakaoTalk_20210520_143216144_04.jpg?type=f200_200,Y,F,U,,서울특별시
로마,비숑프리제,비숑프리제,White,2020.05,7.16,https://cafethumb.pstatic.net/MjAyMTA1MTlfMjAg/MDAxNjIxMzg5MjI0Nzcz.WIgpG_hLeTDWU1JP8WEU1gTfrEYZNK8b_BjjDdEQExUg.0csgn0GY3FsKfXDftY89FXIFkiLzSLXF6NGgJ7Cv3gMg.JPEG/KakaoTalk_20210519_063214844_13.jpg?type=f200_200,Y,M,U,아무 것도 몰라요~ 그냥 사람이 좋아요~  천진난만하고 앳띤 흰둥이 장난감도 좋고 사람도 좋고 다 좋아요~ 하지만 전 가족에게서 반려견으로서 배워야 할 훈련은 하나도 받지 못한채 버려진 로마입니다.  비숑프리제는 예쁘고 귀여운 외모로 많은 이들에게 사랑을 받지만 산만하고 호기심도 많으며 목청도 좋은 아이입니다. 외모에 혹해 견종 특성을 이해하지 못하고 선듯 데려온 후  위같은 문제가 발생해 파양 유기도 많이 되기도 하죠.  센터로 오게된 로마 역시  어린 아이인 만큼 호기심도 많고 배울 것도 많습니다.  패드가 뭔지 똥이 뭔지 소변이 뭔지 간식이 뭔지..  아무 것도 모르고 많이 맞아본 아이처럼 눈치도 많이보고 톤이 올라가거나  머리 위로 올라가는 손짓에 움찔하는 모습이 관찰됩니다. (똥도 밟고 다니고 소변도 아무 곳에다 싸며 패드는 찢어요.)  그리고 무엇보다 구조 당시 중성화 수술보다는 성대수술이 되어 짖을 때 쇳소리가 났어요. 기본적인 간식에도 크게 반응하지 않는 모습과 짖을 때마다 쇳소리가 나는 사실이 마음이 아팠습니다.  어린 강아지가 짖고 물고 배변을 아무 곳에나 하는 것은 당연합니다. 이를 집안 환경에 맞게 가르치는 것은 반려 가족의 의무인데 하나도 배우지도 못한채 유기된 아이.  요구성 짖음인지 분리불안 증상으로 인한 짖음인지는 알 수 없지만 아마 로마는 전 가족과 함께 살 때 많이 짖었을거예요.  그래서 혼도 많이 났겠죠. 부드러운 손길과 눈길을 많이 요구해요...  거의 방치된 아이처럼 백지같은 로마. 몸집은 커졌지만 갓 태어난 강아지처럼 로마를 가르쳐야 됩니다.  다른 반려견들처럼  즐겁게 산책도 하고 배변 훈련을 통해 쾌적한 집안 환경을 나누며 다양한 내외부활동으로 행복한 견생을 살아야돼요.  초보 가족보다는  반려견을 오랫동안 함께 했던 경험이 많은 가족을 찾습니다. 지금 작은 체구보다는 더 커질 듯한 아이예요. 많이 말랐습니다(보통 비숑프리제는 크게 8키로까지 큽니다).  배변 훈련 기본 지시어 훈련 산책 훈련 등 훈련을 하실 수 있는 가족.  어린 아이보다는 성인구성원으로 천천히 시간을 들여 함께 해주실 있는  사랑으로 평생을 보듬어 주실 평생 가족을 기다립니다.,서울특별시
럭키,포메라니안,포메라니안,Unknown,2018.05,7.16,https://cafethumb.pstatic.net/MjAyMTA1MTZfMzUg/MDAxNjIxMTI5NDMzNDY0.AIrP-DpZs5oEDHxq1UNQo9_zxTa81LgTqzY7-VQ674wg.JN4ZTMju9YPNCPP4NOMW8rEItMvDH_nP4b2T85bvrkQg.JPEG/KakaoTalk_20210516_093404744_04.jpg?type=f200_200,Y,M,U,,서울특별시
